Job title,Company,location,job type
VP Marketing (Advanced Technology Solutions),Black & Grey HR -,"Dubai, United Arab Emirates ",Full Time
Project Management Officer - System of Quality Management,KPMG in Kuwait -,"Kuwait City, Kuwait ",Full Time
Presales Manager,LINK Development -,"Maadi, Cairo, Egypt ",Full Time
Senior Outsystems Developer -UAE,LINK Development -,"Cairo, Egypt ",Full Time
Petrochemical Integration And Optimization Specialist,WhiteCrow Research -,"Dhahran, Saudi Arabia ",Full Time
Structural BIM Modeler,iTech Engineering Consultancy -,"Dubai, United Arab Emirates ",Full Time
Data Scientist,TheTalentPoint | Jobs in UAE & Middleeast -,"Dubai, United Arab Emirates ",Full Time
Master Principal Solutions Engineer (EPM and SCM),Oracle -,"Riyadh, Saudi Arabia ",Full Time
Design Engineer - E&I,Qatar Shipyard Technology Solutions -,"Doha, Qatar ",Full Time
Project Coordinator - Electrical,Petrotec -,"Doha, Qatar ",Full Time
Senior BIM Manager (Project Manager),iTech Engineering Consultancy -,"Dubai, United Arab Emirates ",Full Time
Oracle Applications Unlimited Client Engagement Regional Director,Oracle -,"Dubai, United Arab Emirates ",Full Time
Airfreight Product Manager,Psabdp -,"Riyadh, Saudi Arabia ",Full Time
Business Analyst,Maids.cc -,"Cairo, Egypt ",Full Time
Line Chef,Marston’s PLC -,"Alexandria, Egypt ",Full Time
Customer support & complaints specialist,Tagaddod -,"Cairo, Egypt ",Full Time
Senior Software Developer,Dsquares -,"Cairo, Egypt ",Full Time
IAM Consultant,VAM Systems -,"Doha, Qatar ",Full Time
Licensed Crisis Counselor - REMOTE in Alabama,"Protocall Services, Inc. -","Cairo, Egypt ",Full Time
Project Controls Lead,Brunel -,"Doha, Qatar ",Full Time
AI & Data Science Python Developer Intern,Sequel Solutions -,"Cairo, Egypt ",Internship
